,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2005-11-01,Philadelphia 76ers,Milwaukee Bucks,108 - 117,07:00,108,117,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333356,0.03333333333333333,0.03333333333333356,0.03333333333333333,0.03333333333333356,0.03333333333333333
1,1,2005-11-01,New Orleans/Oklahoma City Hornets,Sacramento Kings,93 - 67,08:00,93,67,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333534,0.03333333333333341,0.033333333333333534,0.03333333333333341,0.033333333333333534,0.03333333333333341
2,2,2005-11-01,San Antonio Spurs,Denver Nuggets,102 - 91,08:00,102,91,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333341,0.03333333333333305,0.03333333333333341,0.03333333333333305,0.03333333333333341,0.03333333333333305
3,3,2005-11-01,Phoenix Suns,Dallas Mavericks,108 - 111,10:30,108,111,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333416,0.033333333333333,0.033333333333333416,0.033333333333333,0.033333333333333416,0.033333333333333
4,4,2005-11-02,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,109 - 87,07:00,109,87,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.033333333333333263,0.05333333333333332,0.033333333333333263,0.05333333333333332,0.03333333333333355,0.033333333333333194
5,5,2005-11-02,Orlando Magic,Indiana Pacers,78 - 90,07:00,78,90,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333331,0.03333333333333329,0.03333333333333331,0.03333333333333329,0.03333333333333326,0.03333333333333332
6,6,2005-11-02,Toronto Raptors,Washington Wizards,96 - 99,07:00,96,99,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333416,0.03333333333333338,0.033333333333333416,0.03333333333333338,0.03333333333333349,0.033333333333333555
7,7,2005-11-02,Boston Celtics,New York Knicks,114 - 100,07:30,114,100,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333358,0.03333333333333331,0.03333333333333358,0.03333333333333331,0.03333333333333378,0.03333333333333326
8,8,2005-11-02,New Jersey Nets,Milwaukee Bucks,96 - 110,07:30,96,110,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333331,0.05333333333333346,0.03333333333333331,0.05333333333333346,0.03333333333333326,0.033333333333332944
9,9,2005-11-02,Detroit Pistons,Philadelphia 76ers,108 - 88,08:00,108,88,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.03333333333333315,0.013333333333333369,0.03333333333333315,0.013333333333333369,0.03333333333333333,0.03333333333333295
10,10,2005-11-02,Memphis Grizzlies,Miami Heat,78 - 97,08:00,78,97,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333349,0.03333333333333343,0.03333333333333349,0.03333333333333343,0.03333333333333325,0.03333333333333322
11,11,2005-11-02,Minnesota Timberwolves,Portland Trail Blazers,90 - 86,08:00,90,86,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333305,0.0333333333333333,0.033333333333333305,0.0333333333333333,0.03333333333333325,0.03333333333333343
12,12,2005-11-02,Chicago Bulls,Charlotte Bobcats,109 - 105,08:30,109,105,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333355,0.03333333333333345,0.03333333333333355,0.03333333333333345,0.03333333333333374,0.0333333333333338
13,13,2005-11-02,Houston Rockets,Sacramento Kings,98 - 89,08:30,98,89,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.03333333333333326,0.013333333333333332,0.03333333333333326,0.013333333333333332,0.03333333333333328,0.03333333333333321
14,14,2005-11-02,Utah Jazz,Dallas Mavericks,93 - 82,09:00,93,82,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333339,0.05333333333333314,0.03333333333333339,0.05333333333333314,0.0333333333333336,0.03333333333333314
15,15,2005-11-02,Seattle SuperSonics,Los Angeles Clippers,93 - 101,10:00,93,101,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333305,0.03333333333333333,0.033333333333333305,0.03333333333333333,0.03333333333333344,0.03333333333333334
16,16,2005-11-02,Denver Nuggets,Los Angeles Lakers,97 - 99,10:30,97,99,0.0,0.0,0.375,0.5,,,,,,,,,,,,,0.013333333333333239,0.03333333333333352,0.013333333333333239,0.03333333333333352,0.033333333333332986,0.0333333333333333
17,17,2005-11-02,Golden State Warriors,Atlanta Hawks,122 - 97,10:30,122,97,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333194,0.0333333333333335,0.033333333333333194,0.0333333333333335,0.03333333333333331,0.033333333333333603
18,18,2005-11-03,Miami Heat,Indiana Pacers,102 - 105,08:00,102,105,1.0,1.0,0.6250000000000001,0.625,,,,,,,97.0,97.0,1.0,90.0,90.0,1.0,0.053333333333333115,0.05333333333333346,0.053333333333333316,0.05333333333333336,0.03333333333333317,0.0333333333333334
19,19,2005-11-03,Los Angeles Lakers,Phoenix Suns,112 - 122,10:30,112,122,1.0,0.0,0.6,0.33333333333333337,,,,,,,191.87628865979383,3.695723929272747e-299,1.926097255208771e-301,187.78378378378378,4.0316988319339056e-299,2.146989878836421e-301,0.04333333333333315,0.013333333333333289,0.03641025641025636,0.0133333333333333,0.02687810945273634,0.028109452736318312
20,20,2005-11-04,Orlando Magic,Memphis Grizzlies,85 - 94,07:00,85,94,0.0,0.0,0.4107142857142858,0.33928571428571425,,,,,,,134.51298178318436,2.15421749789635,0.016014941229751636,121.24567222131321,2.089575334109191,0.017234226144542536,0.013333333333333346,0.013333333333333284,0.013333333333333341,0.01333333333333328,0.02438887327901088,0.024145359183291068
21,21,2005-11-04,Philadelphia 76ers,Charlotte Bobcats,93 - 110,07:00,93,110,0.0,0.0,0.3214285714285714,0.375,,,,,,,156.75040225909936,5697.930518681239,36.350340647055496,105.0,105.0,1.0,0.013333333333333409,0.013333333333333294,0.013333333333333365,0.013333333333333265,0.041662397978349225,0.033333333333333104
22,22,2005-11-04,Toronto Raptors,New Jersey Nets,92 - 102,07:00,92,102,0.0,0.0,0.375,0.39285714285714285,,,,,,,96.0,96.0,1.0,148.28386063055032,2.535183486556593,0.01709682682778951,0.013333333333333398,0.013333333333333383,0.013333333333333398,0.013333333333333327,0.03333333333333372,0.025004268688317444
23,23,2005-11-04,Boston Celtics,Detroit Pistons,81 - 82,07:30,81,82,1.0,1.0,0.625,0.6071428571428571,,,,,,,114.0,114.0,1.0,192.47178059575467,2.97257339956938,0.0154442037703835,0.05333333333333325,0.04333333333333347,0.05333333333333328,0.04712643678160937,0.03333333333333302,0.025332103951097935
24,24,2005-11-04,New York Knicks,Washington Wizards,75 - 86,07:30,75,86,0.0,1.0,0.375,0.6250000000000001,,,,,,,100.0,100.0,1.0,99.0,99.0,1.0,0.013333333333333336,0.05333333333333354,0.013333333333333322,0.05333333333333353,0.03333333333333303,0.033333333333333715
